TITLE,DATE,PRICE
SMA Tim Brauch Vintage Skateboard Deck 1993 Slick,2018-10-22T21:08:23.000Z,177.5
New Deal John Montesi Bad Dream slick redux Skateboard Deck Very Rare,2018-10-11T22:14:03.000Z,270.0
New Deal Vintage Skateboard Siamese Slick Deck - Powell Vision Nos,2018-11-06T21:02:37.000Z,675.0
Og rare 1993 Acme slick vintage skateboard deck girl 101 blind plan b flip 90s,2018-09-20T01:49:17.000Z,71.0
OG  Rare 1994 Brian Barber Evol Slick skateboard deck used vintage girl flip 90s,2018-09-20T01:31:14.000Z,104.5
Powell Peralta Steve Caballero Skateboard Slick Deck 1992 Vintage Skate Rare,2018-10-13T05:26:57.000Z,155.0
Nos RARE signed John Montesi Bad Dream New Deal Slick skateboard deck vintage,2018-08-24T20:29:27.000Z,247.5
Original Vintage 1991 Sal Barbier Rare H Street Slick Bottom Skateboard Deck NOS,2018-10-01T01:08:52.000Z,609.99
Vintage 1993 H-Street Chad Vogt Madonna Slick Skateboard Deck,2018-09-25T00:45:14.000Z,632.0
Vintage 1993 Birdhouse Willy Santos Yellow Submarine Slick Skateboard Deck,2018-10-01T23:51:12.000Z,1046.0
Vintage 1993 Plan B Rodney Mullen Yoda Slick Deck,2018-11-05T22:35:31.000Z,7800.0
